Designator,Footprint,Quantity,Value,LCSC Part #
IC5,SOP50P490X110-10N,1,ADS8863IDGS,
IC4,SOP50P490X110-10N,1,ADS8863IDGS,
FL2,SRF0905501Y,1,PSCLAQ0905-102Y,
FL1,SRF0905501Y,1,PSCLAQ0905-102Y,
L4,L_Taiyo-Yuden_MD-3030,1,SWPA3015S100MT,
L3,L_Taiyo-Yuden_MD-3030,1,SWPA3015S100MT,
L2,L_Taiyo-Yuden_MD-3030,1,SWPA3015S100MT,
L1,L_Taiyo-Yuden_MD-3030,1,SWPA3015S100MT,
C66,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
R31,R_0805_2012Metric,1,0,
C58,C_0805_2012Metric,1,560pF C0G,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,ADA4075-2,
R15,R_0805_2012Metric,1,1k,
R39,R_0805_2012Metric,1,10,
C73,C_0805_2012Metric,1,4.7nF C0G,
C77,C_0805_2012Metric,1,560pF C0G,
R17,R_0805_2012Metric,1,10,
C33,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
R4,R_0805_2012Metric,1,1k,
C55,C_1210_Kelvin,1,1210 10uF X7R 50V,
U6,SOIC-14_3.9x8.7mm_P1.27mm,1,MAX5719xSD,
R9,R_0805_2012Metric,1,10k,
C11,CP_EIA-3528-12_Kemet-T,1,C_Polarized,
J7,SMA_Amphenol_132134_Vertical,1,Conn_Coaxial,
C1,C_1210_3225Metric,1,ECPU1C105MA5,
C41,C_0805_2012Metric,1,dnp,
R14,R_0805_2012Metric,1,560,
R33,R_0805_2012Metric,1,560,
C12,C_0805_2012Metric,1,0.1u,
C19,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
U4,SOT-223-3_TabPin2,1,AP1117-ADJ,
C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C79,C_0805_2012Metric,1,10n C0G,
C9,C_0805_2012Metric,1,0.1u,
U11,SOIC-14_3.9x8.7mm_P1.27mm,1,MS5542,
R16,R_0805_2012Metric,1,390,
C38,CP_EIA-3528-12_Kemet-T,1,tant 10uF,
C13,C_0805_2012Metric,1,0.1u,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ADR421ARZ,
R20,R_0805_2012Metric,1,390,
R2,R_0805_2012Metric,1,10k,
R22,R_0805_2012Metric,1,1.5k,
C36,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
C7,C_0805_2012Metric,1,0.1u,
C54,C_0805_2012Metric,1,x7r 1u,
