Designator,Mid X,Mid Y,Rotation,Layer
IC5,130.5,-79.25,0.0,top
IC4,130.5,-99.25,0.0,top
FL2,182.5,-142.5,180.0,top
FL1,182.5,-125.0,180.0,top
L4,174.75,-146.25,180.0,top
L3,174.75,-138.75,180.0,top
L2,174.75,-128.75,180.0,top
L1,174.75,-121.25,180.0,top
C66,124.73,-119.2,0.0,top
R31,107.75,-76.75,180.0,top
C58,116.75,-93.75,0.0,top
U8,115.0,-130.0,90.0,top
R15,113.25,-106.75,180.0,top
R39,121.0,-82.5,180.0,top
C73,112.25,-79.75,90.0,top
C77,116.75,-85.5,0.0,top
R17,121.0,-102.5,180.0,top
C33,164.55,-146.05,-90.0,top
R4,142.25,-88.75,-90.0,top
C55,159.0,-110.25,0.0,top
U6,127.2,-136.6,90.0,top
R9,179.25,-86.0,90.0,top
C11,187.0,-103.25,-90.0,top
J7,105.0,-140.0,0.0,top
C1,152.85,-88.21,90.0,top
C41,128.3,-85.115,180.0,top
R14,111.25,-96.75,180.0,top
R33,111.25,-82.5,180.0,top
C12,186.5,-99.0,90.0,top
C19,189.25,-125.0,-90.0,top
U4,161.8,-122.05,90.0,top
C3,142.65,-92.61,-90.0,top
C79,121.75,-79.5,-90.0,top
C9,176.75,-91.0,-90.0,top
U11,127.33,-123.875,90.0,top
R16,113.25,-104.5,180.0,top
C38,151.0,-143.75,-90.0,top
C13,174.25,-101.0,-90.0,top
U3,181.75,-90.5,180.0,top
R20,113.25,-94.75,180.0,top
R2,145.25,-94.86,0.0,top
R22,163.5,-103.5,180.0,top
C36,161.3,-146.05,-90.0,top
C7,186.5,-89.5,90.0,top
C54,158.5,-79.5,-90.0,top
R26,116.8,-137.8,90.0,top
J1,105.0,-102.5,0.0,top
C57,116.75,-105.5,0.0,top
C72,167.5,-140.0,90.0,top
R35,113.25,-84.5,180.0,top
C23,167.5,-128.0,-90.0,top
R36,113.25,-72.75,180.0,top
R10,159.05,-128.3,90.0,top
J5,105.0,-82.5,0.0,top
R23,151.5,-107.75,-90.0,top
C63,111.4,-128.4,-90.0,top
C30,173.5,-142.5,-90.0,top
C50,159.4,-75.45,0.0,top
IC3,182.0,-99.5,180.0,top
C29,161.3,-128.55,-90.0,top
D5,167.5,-136.25,180.0,top
C68,128.8,-128.6,180.0,top
C52,158.9,-72.7,0.0,top
U5,161.8,-139.55,90.0,top
C22,171.25,-125.0,-90.0,top
C71,167.5,-122.5,90.0,top
C18,191.5,-142.5,-90.0,top
C37,156.75,-137.75,-90.0,top
U2,181.9,-74.5,180.0,top
R30,107.75,-96.75,180.0,top
C81,126.5,-76.75,90.0,top
U7,134.05,-90.115,180.0,top
C53,147.15,-78.7,-90.0,top
U1,147.25,-90.61,180.0,top
C6,189.25,-90.25,90.0,top
R11,156.05,-124.05,0.0,top
C35,156.05,-143.55,180.0,top
C28,151.0,-126.25,-90.0,top
C45,129.0,-96.5,0.0,top
J9,131.25,-73.75,90.0,top
R8,182.25,-85.25,-90.0,top
R1,156.5625,-89.81,0.0,top
J3,145.75,-128.25,-90.0,top
C31,171.25,-142.5,-90.0,top
C40,132.8,-85.615,0.0,top
C64,119.6,-131.6,180.0,top
U10,152.9,-77.7,180.0,top
C15,187.75,-75.0,-90.0,top
IC2,116.5,-79.75,90.0,top
C83,129.0,-76.5,0.0,top
R19,119.8,-136.4,0.0,top
R3,139.3875,-92.5725,-90.0,top
C14,174.0,-91.75,-90.0,top
R24,159.75,-103.5,0.0,top
C26,155.8,-126.05,180.0,top
R25,115.4,-123.0,180.0,top
J4,145.75,-134.25,90.0,top
C76,116.75,-73.75,0.0,top
C67,128.25,-141.2,180.0,top
C8,177.0,-75.25,90.0,top
C44,124.5,-96.75,90.0,top
J6,104.96,-120.0,0.0,top
C27,156.5,-120.25,-90.0,top
R28,110.75,-138.75,-90.0,top
J8,143.95,-103.75,-90.0,top
C43,126.5,-96.75,90.0,top
C69,151.0,-120.25,90.0,top
R13,156.05,-141.55,0.0,top
C32,167.5,-145.5,-90.0,top
R34,113.25,-74.75,180.0,top
C17,191.5,-125.25,-90.0,top
C21,173.5,-125.0,-90.0,top
U9,161.5,-106.5,180.0,top
IC1,116.5,-99.75,90.0,top
C34,155.3,-146.3,180.0,top
R6,111.25,-102.5,180.0,top
D4,154.0,-120.0,90.0,top
RV1,175.25,-86.25,90.0,top
C2,147.25,-86.01,180.0,top
D3,167.5,-118.75,180.0,top
J10,141.45,-146.25,-90.0,top
J2,196.75,-130.25,-90.0,top
R5,129.05,-87.865,90.0,top
C25,155.3,-128.8,180.0,top
C48,165.0,-110.0,180.0,top
C16,174.25,-74.5,90.0,top
R37,113.25,-86.75,180.0,top
R18,121.0,-96.75,180.0,top
C20,189.25,-142.5,-90.0,top
R32,111.25,-76.75,180.0,top
C39,129.45,-91.81,-90.0,top
R21,113.25,-92.75,180.0,top
C42,121.75,-99.5,-90.0,top
R29,110.75,-121.0,90.0,top
C46,112.25,-99.75,90.0,top
R38,121.0,-76.75,180.0,top
C51,154.25,-107.75,-90.0,top
C49,165.75,-106.5,90.0,top
R27,119.0,-124.0,180.0,top
C4,139.5,-87.5,90.0,top
C62,115.4,-125.2,0.0,top
C65,124.4,-132.0,0.0,top
R12,159.05,-145.8,90.0,top
C82,124.5,-76.75,90.0,top
C24,164.55,-128.55,-90.0,top
J11,141.45,-113.75,-90.0,top
D6,154.25,-137.5,90.0,top
C70,151.0,-137.75,90.0,top
R7,180.15,-78.5,180.0,top
C5,183.9,-78.5,0.0,top
C61,116.0,-135.0,0.0,top
C10,178.0,-103.5,0.0,top
C80,115.75,-77.5,-90.0,bottom
C56,115.5,-102.0,90.0,bottom
C60,115.75,-97.5,-90.0,bottom
C74,114.0,-82.0,90.0,bottom
C59,117.25,-102.0,90.0,bottom
C75,115.5,-82.0,90.0,bottom
C47,114.0,-102.0,90.0,bottom
C78,117.25,-82.0,90.0,bottom
